Lenguaje,Análisis,Replica,Tiempo,Memoria,Líneas,Obs
R,Regresión,1,6.218707954,,9,lm()
R,Regresión,2,6.524840754,,9,lm()
R,Regresión,3,3.0081961539999997,,9,lm()
R,Regresión,4,2.155586354,,9,lm()
R,Regresión,5,3.397368254,,9,lm()
R,Regresión,6,2.2332458539999998,,9,lm()
R,Regresión,7,2.054073554,,9,lm()
R,Regresión,8,2.909141354,,9,lm()
R,Regresión,9,3.068100354,,9,lm()
R,Regresión,10,2.468152054,,9,lm()
R,Regresión,11,1.7701908540000002,,9,lm()
R,Regresión,12,1.8832646540000002,,9,lm()
R,Regresión,13,2.1597048539999997,,9,lm()
R,Regresión,14,1.600939354,,9,lm()
R,Regresión,15,1.518135854,,9,lm()
R,Regresión,16,1.875495154,,9,lm()
R,Regresión,17,2.076109054,,9,lm()
R,Regresión,18,2.161703154,,9,lm()
R,Regresión,19,1.927527754,,9,lm()
R,Regresión,20,2.6002738539999997,,9,lm()
R,Regresión,21,2.082356554,,9,lm()
R,Regresión,22,2.7278619539999998,,9,lm()
R,Regresión,23,2.295369954,,9,lm()
R,Regresión,24,2.771744854,,9,lm()
R,Regresión,25,2.7672465539999997,,9,lm()
R,Regresión,26,1.457617654,,9,lm()
R,Regresión,27,1.600472254,,9,lm()
R,Regresión,28,2.738683254,,9,lm()
R,Regresión,29,1.752353354,,9,lm()
R,Regresión,30,1.644316254,,9,lm()
Python,Regresión,1,11.202662954000001,,18,statsmodels
Python,Regresión,2,7.332938954,,18,statsmodels
Python,Regresión,3,5.228654454,,18,statsmodels
Python,Regresión,4,5.310722454,,18,statsmodels
Python,Regresión,5,8.167684754,,18,statsmodels
Python,Regresión,6,5.9012796540000005,,18,statsmodels
Python,Regresión,7,9.823095554,,18,statsmodels
Python,Regresión,8,5.8813263540000005,,18,statsmodels
Python,Regresión,9,6.933035054,,18,statsmodels
Python,Regresión,10,6.051443854,,18,statsmodels
Python,Regresión,11,4.743064754000001,,18,statsmodels
Python,Regresión,12,5.449123654,,18,statsmodels
Python,Regresión,13,8.558864054,,18,statsmodels
Python,Regresión,14,4.535792054,,18,statsmodels
Python,Regresión,15,5.770271854000001,,18,statsmodels
Python,Regresión,16,4.668257254,,18,statsmodels
Python,Regresión,17,4.315737354,,18,statsmodels
Python,Regresión,18,4.272117354000001,,18,statsmodels
Python,Regresión,19,4.533000354,,18,statsmodels
Python,Regresión,20,4.757716954,,18,statsmodels
Python,Regresión,21,4.550851454,,18,statsmodels
Python,Regresión,22,5.934587654,,18,statsmodels
Python,Regresión,23,9.371782754,,18,statsmodels
Python,Regresión,24,7.6145206540000006,,18,statsmodels
Python,Regresión,25,5.262673454000001,,18,statsmodels
Python,Regresión,26,5.549906454,,18,statsmodels
Python,Regresión,27,4.784743354000001,,18,statsmodels
Python,Regresión,28,4.379969254000001,,18,statsmodels
Python,Regresión,29,4.472588954000001,,18,statsmodels
Python,Regresión,30,4.725955954000001,,18,statsmodels
Julia,Regresión,1,109.839584154,,55,GLM.jl
Julia,Regresión,2,130.187936454,,55,GLM.jl
Julia,Regresión,3,157.409557554,,55,GLM.jl
Julia,Regresión,4,59.206185954,,55,GLM.jl
Julia,Regresión,5,58.476336954,,55,GLM.jl
Julia,Regresión,6,70.341488554,,55,GLM.jl
Julia,Regresión,7,108.469684354,,55,GLM.jl
Julia,Regresión,8,195.60698145400002,,55,GLM.jl
Julia,Regresión,9,123.147129954,,55,GLM.jl
Julia,Regresión,10,115.58861815399999,,55,GLM.jl
Julia,Regresión,11,97.96040895399999,,55,GLM.jl
Julia,Regresión,12,90.07033805399999,,55,GLM.jl
Julia,Regresión,13,309.265560854,,55,GLM.jl
Julia,Regresión,14,246.401527754,,55,GLM.jl
Julia,Regresión,15,152.627762754,,55,GLM.jl
Julia,Regresión,16,75.12905345399999,,55,GLM.jl
Julia,Regresión,17,83.15296705399999,,55,GLM.jl
Julia,Regresión,18,104.317892854,,55,GLM.jl
Julia,Regresión,19,85.98458745399999,,55,GLM.jl
Julia,Regresión,20,72.535203454,,55,GLM.jl
Julia,Regresión,21,73.26663005399999,,55,GLM.jl
Julia,Regresión,22,82.84619055399999,,55,GLM.jl
Julia,Regresión,23,96.48841355399999,,55,GLM.jl
Julia,Regresión,24,86.57726345399999,,55,GLM.jl
Julia,Regresión,25,131.639964454,,55,GLM.jl
Julia,Regresión,26,225.49140305400002,,55,GLM.jl
Julia,Regresión,27,359.776367354,,55,GLM.jl
Julia,Regresión,28,278.550824954,,55,GLM.jl
Julia,Regresión,29,377.518932254,,55,GLM.jl
Julia,Regresión,30,281.659246554,,55,GLM.jl
R,ANOVA,1,1.712783154,,7,aov()
R,ANOVA,2,2.0050867539999997,,7,aov()
R,ANOVA,3,1.6988225540000002,,7,aov()
R,ANOVA,4,1.8491635540000002,,7,aov()
R,ANOVA,5,2.539836154,,7,aov()
R,ANOVA,6,1.5711109540000001,,7,aov()
R,ANOVA,7,2.139184054,,7,aov()
R,ANOVA,8,2.577799954,,7,aov()
R,ANOVA,9,1.7739851540000002,,7,aov()
R,ANOVA,10,2.8398493539999996,,7,aov()
R,ANOVA,11,1.5334749540000001,,7,aov()
R,ANOVA,12,3.0066445539999997,,7,aov()
R,ANOVA,13,15.801864854,,7,aov()
R,ANOVA,14,2.4208641539999998,,7,aov()
R,ANOVA,15,2.977605354,,7,aov()
R,ANOVA,16,1.620157154,,7,aov()
R,ANOVA,17,1.833213554,,7,aov()
R,ANOVA,18,1.8669865540000001,,7,aov()
R,ANOVA,19,1.718167054,,7,aov()
R,ANOVA,20,1.608139954,,7,aov()
R,ANOVA,21,2.2452917539999997,,7,aov()
R,ANOVA,22,1.661054754,,7,aov()
R,ANOVA,23,1.7130495540000001,,7,aov()
R,ANOVA,24,1.4774173540000002,,7,aov()
R,ANOVA,25,1.8283385540000001,,7,aov()
R,ANOVA,26,1.396635754,,7,aov()
R,ANOVA,27,1.728155554,,7,aov()
R,ANOVA,28,2.403846754,,7,aov()
R,ANOVA,29,1.728079554,,7,aov()
R,ANOVA,30,1.724792954,,7,aov()
Python,ANOVA,1,6.781810954,,11,statsmodels
Python,ANOVA,2,6.716317054,,11,statsmodels
Python,ANOVA,3,8.782633554,,11,statsmodels
Python,ANOVA,4,5.684551454,,11,statsmodels
Python,ANOVA,5,5.546652154,,11,statsmodels
Python,ANOVA,6,5.180019154,,11,statsmodels
Python,ANOVA,7,5.515460554000001,,11,statsmodels
Python,ANOVA,8,5.5277213540000005,,11,statsmodels
Python,ANOVA,9,6.232765554,,11,statsmodels
Python,ANOVA,10,6.909383554000001,,11,statsmodels
Python,ANOVA,11,7.692451954,,11,statsmodels
Python,ANOVA,12,8.521402554,,11,statsmodels
Python,ANOVA,13,9.348895754,,11,statsmodels
Python,ANOVA,14,9.142925154,,11,statsmodels
Python,ANOVA,15,6.047259654,,11,statsmodels
Python,ANOVA,16,4.033647354,,11,statsmodels
Python,ANOVA,17,4.486089154,,11,statsmodels
Python,ANOVA,18,5.604112154,,11,statsmodels
Python,ANOVA,19,9.528753554,,11,statsmodels
Python,ANOVA,20,7.414313654000001,,11,statsmodels
Python,ANOVA,21,5.433051454,,11,statsmodels
Python,ANOVA,22,5.092825854,,11,statsmodels
Python,ANOVA,23,6.809973854000001,,11,statsmodels
Python,ANOVA,24,7.422890454,,11,statsmodels
Python,ANOVA,25,5.384975154,,11,statsmodels
Python,ANOVA,26,5.644222054,,11,statsmodels
Python,ANOVA,27,7.400495854000001,,11,statsmodels
Python,ANOVA,28,7.172814454,,11,statsmodels
Python,ANOVA,29,5.810334954,,11,statsmodels
Python,ANOVA,30,5.831646554000001,,11,statsmodels
Julia,ANOVA,1,32.344790754,,27,GLM.jl
Julia,ANOVA,2,26.919498854,,27,GLM.jl
Julia,ANOVA,3,36.413711854,,27,GLM.jl
Julia,ANOVA,4,32.803957654,,27,GLM.jl
Julia,ANOVA,5,24.150298854,,27,GLM.jl
Julia,ANOVA,6,31.073038654,,27,GLM.jl
Julia,ANOVA,7,26.663006054,,27,GLM.jl
Julia,ANOVA,8,29.841302754,,27,GLM.jl
Julia,ANOVA,9,34.087381154,,27,GLM.jl
Julia,ANOVA,10,32.699635754,,27,GLM.jl
Julia,ANOVA,11,28.493656654,,27,GLM.jl
Julia,ANOVA,12,27.450160554,,27,GLM.jl
Julia,ANOVA,13,26.838977754000002,,27,GLM.jl
Julia,ANOVA,14,58.795998054,,27,GLM.jl
Julia,ANOVA,15,22.511105354,,27,GLM.jl
Julia,ANOVA,16,21.133334354,,27,GLM.jl
Julia,ANOVA,17,24.603497754,,27,GLM.jl
Julia,ANOVA,18,27.081574654,,27,GLM.jl
Julia,ANOVA,19,22.084731154,,27,GLM.jl
Julia,ANOVA,20,20.921506054,,27,GLM.jl
Julia,ANOVA,21,59.552835554,,27,GLM.jl
Julia,ANOVA,22,33.023240854,,27,GLM.jl
Julia,ANOVA,23,28.288425954,,27,GLM.jl
Julia,ANOVA,24,26.581363154,,27,GLM.jl
Julia,ANOVA,25,25.131340954,,27,GLM.jl
Julia,ANOVA,26,29.207661654,,27,GLM.jl
Julia,ANOVA,27,25.954037054,,27,GLM.jl
Julia,ANOVA,28,25.841883854,,27,GLM.jl
Julia,ANOVA,29,27.594693254,,27,GLM.jl
Julia,ANOVA,30,27.080327954,,27,GLM.jl
